product_name,nrn,label,fake_type
G-Clav Ijnection,A4-6099,0,name_typo
Rotvac 2.5 mL Multi-dose,A6-100141,0,name_typo
Betaglip Tbalets,A4-9236,0,name_typo
Hemmlibra 60 mg,A6-100133,0,name_typo
Telmisartan 4 Tablet,A4-100144,0,name_typo
Hemlbira 150 mg,A6-100134,0,name_typo
Silmen-5,A6-100157,1,genuine
Amikacin Injecton,BA-0906,0,name_typo
Menotas HP 150,A6-100101,1,genuine
Avelox Intravenous Infusion,A4-3297,1,genuine
Silamac 100 Tablet,B4-4246,0,nrn_tamper
Norparzole Capsules,B4-5721,0,name_typo
Insuget-R Regular (Human Insulin - rDNA Origin) Injection 100 IU/mL,A6-100186,1,genuine
Elaxim 52.5 Injeection,A6-0086,0,name_typo
"Binocrit 4,000 IU/0.4 mL Solution for Injection in aP re-Filled Syringe",A6-100115,0,name_typo
RotasiilLiquid,A6-100122,0,name_typo
Insuget-R Regular (Human nsulin - rDNA Origin) Injection 100 IU/mL,A6-100186,0,name_typo
Menotas HP 75,A6-100101,0,nrn_tamper
HibPro Haemophilus Influenzae Type B Conjugate Vaccine,A6-0900,0,nrn_tamper
Havrix 1440 Vaccine,A6-0444,0,nrn_tamper
Meningococcal A Conjugate Vaccine 10 mcg,A0-100061,0,nrn_tamper
GONAL-f Injection Pre-Filled Pen 300 IU,A6-7410,0,nrn_tamper
Apitol Tablets,A4-0376,0,nrn_tamper
MabThera 1400 mg Solution for Subcutaneous Injection,A6-0505,1,genuine
Revac-B 1 L Single Dose,A6-0147,0,name_typo
"Binocrit 4,000 IU/0.4 mL Solution for Injection in a Pre-Filled Syringe",A6-100315,0,nrn_tamper
Chorionic  Gonadotropin for Injection USP 5000 IU,A6-100121,0,name_typo
RapidCure Solution,A5-723948,0,fabricated
Betavate C Cream,A4-5136,0,nrn_tamper
Polio Sabin Bivalent Oral Poliomyelitis Vaccine Types 1 and 3 (BOPV),A6-0082,1,genuine
Meningococcal A Conjugate Vaccine 10 mcg,A6-100061,1,genuine
Czartan 50 Tablets,B4-3977,1,genuine
Spinotone-50 Tablets,B4-5211,0,nrn_tamper
Candesartan 8 mg Talbets,B4-5705,0,name_typo
Rotarix Oral Suspension Applicator,A6-0136,1,genuine
Pneumosil Vacine 0.5 mL,A6-100188,0,name_typo
Erbitux Solution for Infusion,A6-0458,0,nrn_tamper
Avastin 400 mg/16 mL,A6-0101,1,genuine
MeningococcalA  Conjugate Vaccine 10 mcg,A6-100061,0,name_typo
Axcel Cephalexin-500 Capsule,A4-3050,1,genuine
Vabysmo,A6-190124,0,nrn_tamper
Chovastn 20 mg,A4-9756,0,name_typo
Tecentriq 1200 mg/20 mL,A6-100034,1,genuine
Rebif 44 Micrograms Solution for Injection,A6-100135,1,genuine
PriorixV accine,A6-0192,0,name_typo
Mixtard 30 FlexPen 100IU,A6-0248,0,nrn_tamper
Coxiget 400 mg,B4-6149,1,genuine
Mvabea suspension for injection,A6-100118,1,genuine
"Pneubevax 14, 2.5 mL Suspension for injection Pneumococcal",A6-100196,1,genuine
NovoMix 30 FlexPen 100 U/mL Suspension for Injection in Pre-Filled Pen,A6-0004,0,nrn_tamper
Zoleric Capsules,A4-2862,1,genuine
Perjeta 420 mg Concentrate for Solution for Infusion,A6-0526,1,genuine
NovoSeven 1 mg (50 KIU) powder and sollvent for solution for injection,A6-0565,0,name_typo
Ramicard 5.0,B4-2128,1,genuine
Perjeta 420 mg Concentrate for Solution for Infusion,A4-0526,0,nrn_tamper
Vintor 4000 Injetcions,A6-0076,0,name_typo
Simponi Solution for Injection in Prefilled Pen,A6-100193,1,genuine
Avastin 400 mg/16mL,A6-0101,0,name_typo
MedPlus Extra Tablet,A9-666211,0,fabricated
Avromal DS Tableets,A4-4532,0,name_typo
Lisin 10 Tablets,A4-1328,0,nrn_tamper
Adacel Polio Vaccine,A6-100058,1,genuine
Torvedol 12.5,B4-3210,1,genuine
Artheget EZ,A4-2238,0,nrn_tamper
Twinrix Junior Vaccine,A6-0290,0,nrn_tamper
Havrix 1440 Vaccine,A6-0444,1,genuine
Menacttra Vaccine,A6-0407,0,name_typo
Insuget-R Regular (Human Insulin - rDNA Origin) Injection 100 IU/mL,A6-140186,0,nrn_tamper
Engerix B 20 (Adult) Vaccine,A8-0041,0,nrn_tamper
Crestor 40 mg Tablets,A4-5205,0,nrn_tamper
Acterma 200 mg,A6-100067,0,name_typo
MenQuadfi Vaccine,A6-100059,1,genuine
Vaxxitek HVT + IB Vaccine,A6-0151,0,name_typo
Synflorix 4-Dose Vial,A6-8492,0,nrn_tamper
Folisurge 75 IU Ijnection,A6-0509,0,name_typo
"Binocrit 2,000 IU/1 mL Solution for Injection in a Pre-Filled Syringe",A6-100114,1,genuine
Valasrtil 80 mg Tablets,B4-4097,0,name_typo
Amikacin Injection,BA-0906,1,genuine
Betaglip Tablets,A4-9236,1,genuine
Spiotone-50 Tablets,B4-5201,0,name_typo
Varilrix Vaccine,A6-6191,0,nrn_tamper
Tetraxim Vaccine Suspension for Injection in Prefilled Syringe,A6-0153,1,genuine
Atcrapid 100 IU/mL Vial,A6-0069,0,name_typo
Phesg o1200 mg/600 mg/15 mL,A6-100063,0,name_typo
Rabisi Suspension for Injection,A6-0065,0,name_typo
Actemra 80 mg,A6-100066,0,nrn_tamper
Wosulin N Suspension for Injection 100 IU/mL Vial,A6-0239,1,genuine
Humulin N Injection Vial,A6-0149,0,nrn_tamper
Humulin N Cartridges,A6-0270,1,genuine
Fluconazole Capsules,B4-5731,0,nrn_tamper
Avastin 100 mg,A8-0123,0,nrn_tamper
Agazit Tablets,A4-100147,1,genuine
HuCog 5000 HP Injection,A6-3234,0,nrn_tamper
Acyclovir Oiintment,A11-100249,0,name_typo
Mixtard 30 FlexPen 100IU,A6-0448,1,genuine
Foliculin 75 HP Injection,A6-0935,0,nrn_tamper
Wosulin R Insulin Human Injection Cartridge,A6-0335,1,genuine
Valsartil 80 mg Tablets,B4-4097,1,genuine
Glucophage 1000 mg Tablet,04-7234,0,nrn_tamper
Actemra 400 mg,A6-100166,0,nrn_tamper
Lantus Solution for Injection in a Vial,A6-0109,1,genuine
GONAL-f Injection Pre-Filled Pen 900 IU,A6-0412,1,genuine
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 22.5 mL",A6-100192,0,name_typo
GlucaGen HypoKit 1 mg,A6-0445,0,nrn_tamper
Follisurge 1200 IU Injection,A6-0510,0,name_typo
SII Td-Vac Vaccine,A4-100195,0,nrn_tamper
Regen-D 150,A6-0733,0,nrn_tamper
GenCure Injection,A5-833723,0,fabricated
Elaxm-40,A6-0085,0,name_typo
Phesgo 600 mg/600 mg/10 mL,A5-100047,0,nrn_tamper
GARDASIL Suspennsion for Intramuscular Injection,A6-100120,0,name_typo
Tecentriq 840 mg/14 mL,A6-150033,0,nrn_tamper
Nimenrix Vaccine,A6-0259,1,genuine
Crushmal,A4-100161,1,genuine
Wosulin R Insulin Human Injection aCrtridge,A6-0335,0,name_typo
Marchept (Freeze Dried Live Attenuated),A6-100129,1,genuine
Zarzio 48 MU/0.5 mL,A6-100055,1,genuine
Cika Doxycyclien Capsule,A11-100225,0,name_typo
Avastin 400 mg/16 mL,A6-0107,0,nrn_tamper
Afrixime CLV 32 5Tablets,B4-4802,0,name_typo
Adsorbed Tetanus Toxoid Vaccine,A6-3201,0,nrn_tamper
Zabdeno suspension for injection,A6-100111,1,genuine
Recombinant Heptaitis B Vaccine 1.0 mL (Adult),A6-100104,0,name_typo
NovoSeven 2 mg (100 KIU) powder and solvent for solution for injection,A6-0366,0,nrn_tamper
Pasurta 140 mg/mL Solution for Injection in a Prefilled Syringe,A6-100009,1,genuine
Sealmet 1000 Tablet,A4-170155,0,nrn_tamper
Spinotone-25 Tablets,A4-7712,0,nrn_tamper
SII Td-Vac Vaccine,A6-100195,1,genuine
"Binocrit 22,000 IU/1 mL Solution for Injection in a Pre-Filled Syringe",A6-100114,0,name_typo
Folisurge 1200 IU Injection,A6-0580,0,nrn_tamper
Rotarix Oral Suspension Tube,A6-4458,0,nrn_tamper
Vintor 20000 Injection,A6-0077,0,name_typo
GlucaGen HypoKit 1 mg,A6-0445,1,genuine
Wosulin R Insulin Human Injection Cartridge,A6-0334,0,nrn_tamper
Actemra 400  mg,A6-100066,0,name_typo
BioShield Vaccine,A3-174878,0,fabricated
Amlodipin Tablets,A11-0275,0,name_typo
Polio Sabin Bivalent Oral Poliomyelitis Vaccine Types 1 and 3 (BOPV),A6-0089,0,nrn_tamper
Cika Doxycycline Capsule,A11-100225,1,genuine
Humuliin N Cartridges,A6-0270,0,name_typo
Insuget 70/30 (Human Insulin - rDNA Origin) Injection 100 IU/mL,A6-140184,0,nrn_tamper
Adacel Polio Vaccine,A6-100088,0,nrn_tamper
Hanmal,B4-4865,0,nrn_tamper
Megallis 10 Tablets,B4-4340,0,name_typo
Recombinant Hepatitis B Vaccine 1.0 mL (Adult),A6-100104,0,nrn_tamper
Varirid avccine,A6-100126,0,name_typo
Pasurta 70 mg/mL Soluion for Injection in a Prefilled Syringe,A6-100008,0,name_typo
Crshmal,A4-100161,0,name_typo
Humoog 75 HP,A6-0232,0,name_typo
Recormon (Epoetin Beta 4000 IU/03.mL),A6-0120,1,genuine
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Fiv Dose Vial - 5 mL",A6-100191,0,name_typo
Artemteher Injection,A4-8799,0,name_typo
Super Cure Tablet,A5-837135,0,fabricated
Avastin 100 mg,A6-0123,0,name_typo
Ocevus,A6-100051,0,name_typo
Actemra 400 mg,A6-100066,1,genuine
Ketamine HydrochlorideInjection BP,A4-100166,0,name_typo
Pentabio (DTwP-HB-Hib) Vaccine(5 dose),A6-100069,0,name_typo
Hemlibra 60 mg,A6-400133,0,nrn_tamper
Humalog 100 U/mL KwikPen Solution for Injection,A8-0617,0,nrn_tamper
Kadcyla Powder for Concentrate for Solution for Infusion 160 mg,A6-100105,0,nrn_tamper
Revac-B 10 mL Multi-dose,A6-0456,1,genuine
NovoSeven 2 mg (100 KIU) powder and solvent for solution for injection,A6-0566,1,genuine
Pentabio (DTwP-HB-Hib) Vaccine (5 dose),A6-100099,0,nrn_tamper
Ceftran For Injjection,B4-5204,0,name_typo
Coxiget 200 mg,B4-6150,1,genuine
Folisurge 75 IU Injection,A8-0509,0,nrn_tamper
Shan IPV (Inactivated Poliomyelitis Vaccine),A6-100057,1,genuine
Czartan 550 Tablets,B4-3977,0,name_typo
Insuget-N NPH (Human Insulin - rDNA Origin) Injection1 00 IU/mL,A6-100185,0,name_typo
Varilirx Vaccine,A6-0191,0,name_typo
Rotarix Oral SSuspension Tube,A6-0458,0,name_typo
Pasurta 140 mg/mL Solution for Injection in a Prefilled Syringe,A6-100069,0,nrn_tamper
HibPro Haeophilus Influenzae Type B Conjugate Vaccine,A6-0200,0,name_typo
Insulinagypt 70/30 (100 IU/mL) Suspension fo Injection in Vial,A6-100136,0,name_typo
Poliomyelitis  vaccine (Inactivated),A6-100090,0,name_typo
Typbar Vi Capsular Polysaccharide Vaccine 0.5,A2-0146,0,nrn_tamper
Lofnac 100 Tablets,05-7290,0,nrn_tamper
Artheget EZ,A4-6238,1,genuine
Twinrix Junior Vaccine,A6-0190,1,genuine
MabThera 100 mg Concentrate for Solution for Infusion,A6-0866,0,nrn_tamper
Insuget-N NPH (Human Insulin - rDNA Origin) Injection 100 IU/mL,A6-100185,1,genuine
Unigyl 200 Tablet,04-8426,1,genuine
HibPro Haemophilus Influenzae Type B Conjugate Vaccine,A6-0200,1,genuine
Wosulin N Suspension for Injecction 100 IU/mL Cartridge,A6-0333,0,name_typo
Accesslife Tramadol Capsuules,A4-100153,0,name_typo
Zarzio 30 MU/0.5 mL,A6-100053,1,genuine
S-Flox,A4-3484,0,nrn_tamper
Hemlibra 150 mg,A6-120134,0,nrn_tamper
Torvedol 6.25,B4-3209,1,genuine
Syynflorix 4-Dose Vial,A6-0492,0,name_typo
Cikagyl 400 Tablt,A11-100255,0,name_typo
Typbar Vi Capsular Polysaccharide Typhoid Vaccine,A6-0446,1,genuine
Rotarix Oral Suspension Tube,A6-0458,1,genuine
Pasurta 70 mg/mL Solution for Injection in a Prefilled Syringe,A6-100048,0,nrn_tamper
HealFast Syrup,A7-385470,0,fabricated
Typbar Vi Capsular Polysaccharide Typhoid Vaccine,A6-0456,0,nrn_tamper
Levemir FlexPen 100 Units/mL Solution for Injection in Pre-filled Pen,A6-0206,1,genuine
Telmisartan & Hydrochlorothiazide Tablets USP,A5-100167,0,nrn_tamper
Poliomyelitis Vaccine (Oral) Bivalent Tyype 1 and 3,A6-0253,0,name_typo
Ketamine Hydrochloride Injection BP,A4-100166,1,genuine
Recombinant Hepatitis B Vaccine 1.0 mL (Adult),A6-100104,1,genuine
Unigyl 200 aTblet,04-8426,0,name_typo
Czartan 50 Tablets,B4-3977,0,nrn_tamper
Vaxxitek HVT + IBD Vaccine,A6-1151,0,nrn_tamper
Czzartan 25 Tablets,B4-3978,0,name_typo
Rotavac 2.5 mL Multi-dose,A6-100148,0,nrn_tamper
Marchept (Freeze Dried Live Attenuated),A8-100129,0,nrn_tamper
Cika Dexamethasone Tablets,A11-100226,1,genuine
Phesgo 600 mg/600 mg/10 mL,A6-100047,1,genuine
Humalog 100 U/mL wKikPen Solution for Injection,A6-0617,0,name_typo
Mabthera 500 mg Concentratee for Solution for Infusion,A6-0104,0,name_typo
Hanmmal,B4-4875,0,name_typo
Actemra 200 mg,A6-100067,1,genuine
Levemir FlexPen,A1-0206,0,nrn_tamper
Wosulin 30/70 Bipahsic Isophane Human Insulin,A6-0238,0,name_typo
MabThera 100 mg Concentrate for Solution for Infusion,A6-0266,1,genuine
Humuli N Injection Vial,A6-0149,0,name_typo
Rotarix Oral Suspension Applicator,A6-0186,0,nrn_tamper
Insulatard FlexPen 100 IU,A1-0450,0,nrn_tamper
Wosulin 30/70 Biphasic Isophane Insulin Human Injection,A6-0334,1,genuine
Insuget 70/30(Human Insulin - rDNA Origin) Injection 100 IU/mL,A6-100184,0,name_typo
GONAL-f Injection Pre-Filled Pen 300 IU,A6-0410,1,genuine
S-Fox,A4-3454,0,name_typo
Elaxim 52.5 Injection,A6-0081,0,nrn_tamper
Typbar TCV (Typohid Vi conjugate vaccine),A6-100142,0,name_typo
Simuect,A6-0405,0,name_typo
Wosulin R Insulin Human Injectiion,A6-0240,0,name_typo
Recombinant Hepatitis B Vaccine 0. mL (Pediatric),A6-100103,0,name_typo
S-Flox,A4-3454,1,genuine
Adsorbed Tetanus Toxoid Vaccine,A6-0201,1,genuine
Vintor 4000 Injections,A6-0072,0,nrn_tamper
Regenn-D 60,A6-0032,0,name_typo
Wosulin N Suspension for Injection 100 IU/mL Cartridge,A6-0933,0,nrn_tamper
Enspryng Solution for Injection,A6-100128,0,nrn_tamper
Unigyl 400 Tablet,A18-0330,0,nrn_tamper
MaxStrength Syrup,A2-671015,0,fabricated
Lvemir FlexPen 100 Units/mL Solution for Injection in Pre-filled Pen,A6-0206,0,name_typo
Ibulife,B4-3618,0,nrn_tamper
Foliculin 150 HP Injection,A6-0226,0,nrn_tamper
Axcel CCefuroxime-250 Capsule,A4-2996,0,name_typo
Betavate C Cream,A4-5126,1,genuine
Kadcyla Powder for Concentrate for Solution for Infusion 100 mg,A3-0506,0,nrn_tamper
Eylea 40 mg/mL Solution for Injection,A6-0516,0,nrn_tamper
Prazivin Tabllets,A4-7769,0,name_typo
Shan IPV (Inactiavted Poliomyelitis Vaccine),A6-100057,0,name_typo
Saxenda 6 mg/mL Solution for  Injection in Pre-filled Pen,A6-100004,0,name_typo
Artemether Injection,A4-8799,1,genuine
Hemlibra 150 mg,A6-100134,1,genuine
Apitol Caplets Caplet Cyproheptadine Hydrochloride 4,A10-100260,0,nrn_tamper
Ryzodeg FlexTouch 100 U/Lm,A6-0489,0,name_typo
Talibex Ciprofloxacin Tablets,B4-8686,0,nrn_tamper
Remicade,A6-0490,1,genuine
Axcel Cephalexin-500 Capslue,A4-3050,0,name_typo
Apitol Caplets Caplet Cpyroheptadine Hydrochloride 4,A11-100260,0,name_typo
Telmisartan 40 Tablet,A4-104144,0,nrn_tamper
Zopent Injection,A4-5639,1,genuine
Wosulin R Insulin Human Injection,A6-0240,1,genuine
Pagenax 120 mg/mL Solution for Injection,A6-100100,1,genuine
Mendoz Meningitis Vaccine,A6-100135,0,nrn_tamper
Chovastin 20 mg,A6-9756,0,nrn_tamper
Humulin N Cartridges,A6-0280,0,nrn_tamper
Actrapid 100 IU/mL Vial,A2-0069,0,nrn_tamper
Stamaril Vaccine,A6-0112,1,genuine
Candesartan 8 mg Tablets,B4-5805,0,nrn_tamper
"Binocrit 8,000 IU/0.8 mL Solution for Injection in a Pre-Filled Syringe",A6-100116,1,genuine
Avaxim 160 U Vaccine,A6-100175,0,nrn_tamper
Basagine Injecttion 100 units/mL,A6-100190,0,name_typo
