product_name,full_listing_text,nrn,category,source_url
Menotas HP 75,Menotas HP 75** Powder for injection Human menopausal gonadotrophin 75 IU NRN: A6-100102,A6-100102,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/10115
Mixtard 30 vial 100 IU/mL,Mixtard 30 vial 100 IU/mL** Suspension for injection Insulin regular (Human); Isophane insulin 1000 units/10 mL NRN: A6-0071,A6-0071,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/10281
Insuget 70/30 (Human Insulin - rDNA Origin) Injection 100 IU/mL,Insuget 70/30 (Human Insulin - rDNA Origin) Injection 100 IU/mL # Suspension for injection Insulin regular (Human); Isophane insulin 100 IU/mL NRN: A6-100184,A6-100184,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11035
Insuget-N NPH (Human Insulin - rDNA Origin) Injection 100 IU/mL,Insuget-N NPH (Human Insulin - rDNA Origin) Injection 100 IU/mL## Suspension for injection Isophane (NPH) insulin 100 IU/mL NRN: A6-100185,A6-100185,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11036
Insuget-R Regular (Human Insulin - rDNA Origin) Injection 100 IU/mL,Insuget-R Regular (Human Insulin - rDNA Origin) Injection 100 IU/mL## Solution for injection Insulin regular (Human) 100 IU/mL NRN: A6-100186,A6-100186,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11037
MabThera 100 mg Concentrate for Solution for Infusion,MabThera 100 mg Concentrate for Solution for Infusion** Concentrate for solution for infusion Rituximab 100 mg/10 mL NRN: A6-0266,A6-0266,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11039
Mabthera 500 mg Concentrate for Solution for Infusion,Mabthera 500 mg Concentrate for Solution for Infusion** Concentrate for solution for infusion Rituximab 500 mg/50 mL NRN: A6-0104,A6-0104,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11040
Twinrix Junior Vaccine,Twinrix Junior Vaccine** Suspension for injection Hepatitis A virus (inactivated); Hepatitis B surface antigen 360 Elisa Units; 10µg NRN: A6-0190,A6-0190,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11050
Tecentriq 1200 mg/20 mL,Tecentriq 1200 mg/20 mL** Concentrate for solution for infusion Atezolizumab 1200 mg/20 mL NRN: A6-100034,A6-100034,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11051
Tecentriq 840 mg/14 mL,Tecentriq 840 mg/14 mL** Concentrate for solution for infusion Atezolizumab 840 mg/14 mL NRN: A6-100033,A6-100033,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11052
Saxenda 6 mg/mL Solution for Injection in Pre-filled Pen,Saxenda 6 mg/mL Solution for Injection in Pre-filled Pen** Solution for injection Liraglutide 6 mg/mL NRN: A6-100004,A6-100004,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11053
Rotarix Oral Suspension Tube,"Rotarix Oral Suspension Tube** Suspension Rotavirus vaccine (live, oral, monovalent) see Composition NRN: A6-0458",A6-0458,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11054
Rhoclone 300 mcg,Rhoclone 300 mcg** Freeze-dried powder for injection Monoclonal Anti Rho-D Immunoglobulin 300 mcg NRN: A6-0138,A6-0138,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11055
Pneumosil Vaccine 2.5 mL,Pneumosil Vaccine 2.5 mL** Suspension for injection Pneumococcal polysaccharide conjugate vaccine (adsorbed) 2.5 mL NRN: A6-100189,A6-100189,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11058
Pneumosil Vaccine 0.5 mL,Pneumosil Vaccine 0.5 mL** Suspension for injection Pneumococcal polysaccharide conjugate vaccine (adsorbed) 0.5 mL NRN: A6-100188,A6-100188,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11059
Perjeta 420 mg Concentrate for Solution for Infusion,Perjeta 420 mg Concentrate for Solution for Infusion** Concentrate for solution for infusion Pertuzumab 420 mg/14 mL NRN: A6-0526,A6-0526,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11060
Pasurta 140 mg/mL Solution for Injection in a Prefilled Syringe,Pasurta 140 mg/mL Solution for Injection in a Prefilled Syringe** Solution for injection Erenumab 140 mg/mL NRN: A6-100009,A6-100009,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11061
Pasurta 70 mg/mL Solution for Injection in a Prefilled Syringe,Pasurta 70 mg/mL Solution for Injection in a Prefilled Syringe** Solution for injection Erenumab 70 mg/mL NRN: A6-100008,A6-100008,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11062
Ovitrelle 250 micrograms Solution for Injection in Prefilled Syringe,Ovitrelle 250 micrograms Solution for Injection in Prefilled Syringe** Solution for injection Choriogonadotropin alfa 250 mcg/0.5 mL NRN: A6-0437,A6-0437,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11063
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 2.5 mL","MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 2.5 mL** Freeze-dried powder for injection Measles and Rubella vaccine, Live see Composition NRN: A6-100192",A6-100192,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11064
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 5 mL","MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 5 mL** Freeze-dried powder for injection Measles and Rubella vaccine, Live see Composition NRN: A6-100191",A6-100191,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11065
Levemir FlexPen 100 Units/mL Solution for Injection in Pre-filled Pen,Levemir FlexPen 100 Units/mL Solution for Injection in Pre-filled Pen** Solution for injection Insulin detemir 300 units/3 mL NRN: A6-0206,A6-0206,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11067
Basagine Injection 100 units/mL,Basagine Injection 100 units/mL## Injection Recombinant Insulin Glargine 100 units/mL NRN: A6-100190,A6-100190,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11084
Simulect,Simulect** Powder for solution for injection/infusion Basiliximab 20 mg NRN: A6-0405,A6-0405,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11086
Vaxxitek HVT + IBD Vaccine,Vaxxitek HVT + IBD Vaccine** Concentrate for suspension for injection Combined Avian infectious bursal (gumboro) disease and Avian herpes virus (Marek's disease) vaccine see Composition NRN: A6-0151,A6-0151,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11089
NovoSeven 1 mg (50 KIU) powder and solvent for solution for injection,NovoSeven 1 mg (50 KIU) powder and solvent for solution for injection** Powder for solution for injection/infusion Coagulation factor VIIa 1 mg (50 KIU)/Vial NRN: A6-0565,A6-0565,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11095
NovoSeven 2 mg (100 KIU) powder and solvent for solution for injection,NovoSeven 2 mg (100 KIU) powder and solvent for solution for injection** Powder for solution for injection/infusion Coagulation factor VIIa 2 mg (100 KIU)/Vial NRN: A6-0566,A6-0566,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11096
Meningococcal A Conjugate Vaccine 10 mcg,Meningococcal A Conjugate Vaccine 10 mcg** Powder for injection Meningococcal A Polysaccharide 10 mcg/0.5 mL NRN: A6-100061,A6-100061,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11097
Pentabio (DTwP-HB-Hib) Vaccine (1 dose),"Pentabio (DTwP-HB-Hib) Vaccine (1 dose)** Suspension for injection Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type B vaccine (Pentavalent vaccine) 0.5 mL NRN: A6-100062",A6-100062,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11098
Pentabio (DTwP-HB-Hib) Vaccine (5 dose),"Pentabio (DTwP-HB-Hib) Vaccine (5 dose)** Suspension for injection Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type B vaccine (Pentavalent vaccine) 0.5 mL NRN: A6-100069",A6-100069,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11099
Poliomyelitis vaccine (Inactivated),Poliomyelitis vaccine (Inactivated)** Suspension for injection Poliomyelitis vaccine (IPV) (inactivated) 0.5 mL NRN: A6-100090,A6-100090,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11100
Rotasiil Liquid,"Rotasiil Liquid** Liquid Rotavirus vaccine (live, oral, pentavalent) see Composition NRN: A6-100122",A6-100122,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11101
Levemir FlexPen,Levemir FlexPen** Injection Insulin detemir 300 units/3 mL NRN: A6-0206,A6-0206,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11232
MenQuadfi Vaccine,MenQuadfi Vaccine** Solution for injection Meningococcal ACWY conjugate vaccine (MenACWY) 0.5 mL NRN: A6-100059,A6-100059,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11242
Marchept (Freeze Dried Live Attenuated),"Marchept (Freeze Dried Live Attenuated)** Freeze-dried powder for injection Hepatitis A vaccine, Live 0.5 mL NRN: A6-100129",A6-100129,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11290
Shan IPV (Inactivated Poliomyelitis Vaccine),Shan IPV (Inactivated Poliomyelitis Vaccine)** Suspension for injection Poliomyelitis vaccine (IPV) (inactivated) see Composition NRN: A6-100057,A6-100057,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11300
Tetraxim Vaccine Suspension for Injection in Prefilled Syringe,"Tetraxim Vaccine Suspension for Injection in Prefilled Syringe** Suspension for injection Diphtheria, Tetanus, Pertussis and Poliomyelitis (inactivated) vaccine see Composition NRN: A6-0153",A6-0153,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11312
U-Tryp-Injection,"U-Tryp-Injection** Solution for injection Ulinastatin 100,000 IU/Vial NRN: A6-0544",A6-0544,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11313
Avastin 400 mg/16 mL,Avastin 400 mg/16 mL** Concentrate for solution for infusion Bevacizumab 400 mg/16 mL NRN: A6-0101,A6-0101,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11338
Recormon (Epoetin Beta 4000 IU/03.mL),Recormon (Epoetin Beta 4000 IU/03.mL)** Solution for injection Epoetin beta (Recombinant human erythropoietin) 4000 IU/0.3 mL NRN: A6-0120,A6-0120,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11339
Simponi Solution for Injection in Prefilled Pen,Simponi Solution for Injection in Prefilled Pen** Solution for injection Golimumab 50 mg/0.5 mL NRN: A6-100193,A6-100193,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11381
"Pneubevax 14, 2.5 mL Suspension for injection Pneumococcal","Pneubevax 14, 2.5 mL Suspension for injection Pneumococcal polysaccharide conjugate vaccine (adsorbed) see Composition NRN: A6-100196",A6-100196,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11507
SII Td-Vac Vaccine,SII Td-Vac Vaccine** Suspension for injection Tetanus Toxoid; Diphtheria Toxoid 0.5 mL NRN: A6-100195,A6-100195,Vaccines and Biologics,https://greenbook.nafdac.gov.ng/products/details/11514
AG Spironolactone,AG Spironolactone## Tablet Spironolactone 25 mg NRN: A4-100160,A4-100160,Drugs,
Artheget EZ,Artheget EZ## Tablet Artemether; Lumefantrine 80 mg; 480 mg NRN: A4-6238,A4-6238,Drugs,
Crushmal,Crushmal## Tablet Artemether; Lumefantrine 80 mg; 480 mg NRN: A4-100161,A4-100161,Drugs,
Dolburg 50,Dolburg 50## Capsule Tramadol Hydrochloride 50 mg NRN: A4-9351,A4-9351,Drugs,
Hanmal,Hanmal## Tablet Artemether; Lumefantrine 20 mg; 120 mg NRN: B4-4875,B4-4875,Drugs,
Torvedol 12.5,Torvedol 12.5## Tablet Carvedilol 12.5 mg NRN: B4-3210,B4-3210,Drugs,
Torvedol 6.25,Torvedol 6.25## Tablet Carvedilol 6.25 mg NRN: B4-3209,B4-3209,Drugs,
Telmisartan & Hydrochlorothiazide Tablets USP,Telmisartan & Hydrochlorothiazide Tablets USP## Tablet Telmisartan; Hydrochlorothiazide 40 mg; 12.5 mg NRN: A4-100167,A4-100167,Drugs,
S-Flox,S-Flox## Tablet Levofloxacin (Levofloxacin Hemihydrate) 500 mg NRN: A4-3454,A4-3454,Drugs,
Accesslife Tramadol Capsules,Accesslife Tramadol Capsules** Capsule Tramadol Hydrochloride 100 mg NRN: A4-100153,A4-100153,Drugs,
Aciguard Antacid Suspension,Aciguard Antacid Suspension## Suspension Aluminium hydroxide; Magnesium hydroxide; Magnesium trisilicate; Simeticone 300 mg/5 mL; 100 mg/5 mL; 150 mg/5 mL; 25 mg/5 mL NRN: 04-4753,04-4753,Drugs,
Acizip-100 Tablets Tablet Aceclofenac 100 mg,Acizip-100 Tablets Tablet Aceclofenac 100 mg NRN: B4-4804,B4-4804,Drugs,
Acyclovir Ointment,Acyclovir Ointment## Ointment Aciclovir 5% NRN: A11-100249,A11-100249,Drugs,
Afrixime CLV 325 Tablets,Afrixime CLV 325 Tablets## Tablet Cefixime; Clavulanic Acid (Clavulanate Potassium) 200 mg; 125 mg NRN: B4-4802,B4-4802,Drugs,
Agazit Tablets,Agazit Tablets## Tablet Azithromycin (Azithromycin Dihydrate) 500 mg NRN: A4-100147,A4-100147,Drugs,
Agcef Tablet,Agcef Tablet## Tablet Cefuroxime (Cefuroxime Axetil) 500 mg NRN: A4-100138,A4-100138,Drugs,
Albendazole 200,Albendazole 200## Suspension Albendazole 200 mg/5 mL NRN: A11-100325,A11-100325,Drugs,
Alpent Injection,Alpent Injection** Solution for injection Pentazocine (Pentazocine Lactate) 30 mg/mL NRN: B4-3655,B4-3655,Drugs,
Amikacin Injection,Amikacin Injection** Solution for injection Amikacin (Amikacin Sulphate) 500 mg/2 mL NRN: BA-0906,BA-0906,Drugs,
Amlodipine Tablets,Amlodipine Tablets## Tablet Amlodipine (Amlodipine Besilate) 10 mg NRN: A11-0275,A11-0275,Drugs,
G-Clav Injection,G-Clav Injection## Powder for injection Amoxicillin (Amoxicillin Sodium); Clavulanic Acid (Potassium Clavulanate) 1000 mg; 200 mg NRN: A4-6099,A4-6099,Drugs,
Apitol Caplets Caplet Cyproheptadine Hydrochloride 4,Apitol Caplets Caplet Cyproheptadine Hydrochloride 4 mg NRN: A11-100260,A11-100260,Drugs,
Apitol Tablets,Apitol Tablets## Tablet Cyproheptadine Hydrochloride 4 mg NRN: A4-3376,A4-3376,Drugs,
Artemether Injection,Artemether Injection## Solution for injection Artemether 80 mg/mL NRN: A4-8799,A4-8799,Drugs,
Avelox Intravenous Infusion,Avelox Intravenous Infusion** Solution for infusion Moxifloxacin (Moxifloxacin Hydrochloride) 400 mg/250 mL NRN: A4-3297,A4-3297,Drugs,
Avromal DS Tablets,Avromal DS Tablets## Tablet Artemether; Lumefantrine 80 mg; 480 mg NRN: A4-4532,A4-4532,Drugs,
Axcel Cefuroxime-250 Capsule,Axcel Cefuroxime-250 Capsule## Capsule Cefuroxime (Cefuroxime Axetil) 250 mg NRN: A4-2996,A4-2996,Drugs,
Axcel Cephalexin-500 Capsule,Axcel Cephalexin-500 Capsule## Capsule Cefalexin 500 mg NRN: A4-3050,A4-3050,Drugs,
Betaglip Tablets,Betaglip Tablets## Tablet Glipizide 5 mg NRN: A4-9236,A4-9236,Drugs,
Betavate C Cream,Betavate C Cream## Cream Betamethasone (Betamethasone Valerate) 0.1% NRN: A4-5126,A4-5126,Drugs,
Cafekris,Cafekris## Tablet Acetylsalicylic acid; Caffeine 375 mg; 25 mg NRN: A11-100335,A11-100335,Drugs,
Candesartan 16 mg Tablets,Candesartan 16 mg Tablets## Tablet Candesartan Cilexetil 16 mg NRN: B4-5707,B4-5707,Drugs,
Candesartan 8 mg Tablets,Candesartan 8 mg Tablets## Tablet Candesartan Cilexetil 8 mg NRN: B4-5705,B4-5705,Drugs,
Ceftran For Injection,Ceftran For Injection** Powder for injection Ceftriaxone (Ceftriaxone Sodium) 1 g NRN: B4-5204,B4-5204,Drugs,
Chovastin 10 mg,Chovastin 10 mg## Tablet Atorvastatin (Atorvastatin Calcium) 10 mg NRN: A4-9757,A4-9757,Drugs,
Chovastin 20 mg,Chovastin 20 mg## Tablet Atorvastatin (Atorvastatin Calcium) 20 mg NRN: A4-9756,A4-9756,Drugs,
Cika Dexamethasone Tablets,Cika Dexamethasone Tablets## Tablet Dexamethasone phosphate (Dexamethasone sodium phosphate) 0.5 mg NRN: A11-100226,A11-100226,Drugs,
Cika Doxycycline Capsule,Cika Doxycycline Capsule## Capsule Doxycycline (Doxycycline Hyclate) 100 mg NRN: A11-100225,A11-100225,Drugs,
Cikagyl 400 Tablet,Cikagyl 400 Tablet## Tablet Metronidazole 400 mg NRN: A11-100255,A11-100255,Drugs,
Coxiget 200 mg,Coxiget 200 mg## Capsule Celecoxib 200 mg NRN: B4-6150,B4-6150,Drugs,
Coxiget 400 mg,Coxiget 400 mg## Capsule Celecoxib 400 mg NRN: B4-6149,B4-6149,Drugs,
Crestor 10 mg Tablets,Crestor 10 mg Tablets** Tablet Rosuvastatin (Rosuvastatin Calcium) 10 mg NRN: A4-5403,A4-5403,Drugs,
Crestor 40 mg Tablets,Crestor 40 mg Tablets** Tablet Rosuvastatin (Rosuvastatin Calcium) 40 mg NRN: A4-5405,A4-5405,Drugs,
Crestor 5 mg Tablets,Crestor 5 mg Tablets** Tablet Rosuvastatin (Rosuvastatin Calcium) 5 mg NRN: A4-5402,A4-5402,Drugs,
Crestor 20 mg Tablets,Crestor 20 mg Tablets** Tablet Rosuvastatin (Rosuvastatin Calcium) 20 mg NRN: A4-5404,A4-5404,Drugs,
Czartan 25 Tablets,Czartan 25 Tablets## Tablet Losartan Potassium 25 mg NRN: B4-3978,B4-3978,Drugs,
Czartan 50 Tablets,Czartan 50 Tablets## Tablet Losartan Potassium 50 mg NRN: B4-3977,B4-3977,Drugs,
Debixa-10 Tablets,Debixa-10 Tablets## Tablet Aripiprazole 10 mg NRN: B4-3421,B4-3421,Drugs,
Fluconazole Capsules,Fluconazole Capsules** Capsule Fluconazole 200 mg NRN: B4-5731,B4-5731,Drugs,
Getryl 2 mg Tablets,Getryl 2 mg Tablets## Tablet Glimepiride 2 mg NRN: A4-6223,A4-6223,Drugs,
Glucophage 1000 mg Tablet,Glucophage 1000 mg Tablet** Tablet Metformin Hydrochloride 1000 mg NRN: 04-6234,04-6234,Drugs,
Ibulife,Ibulife## Tablet Ibuprofen 400 mg NRN: B4-3418,B4-3418,Drugs,
Ketamine Hydrochloride Injection BP,Ketamine Hydrochloride Injection BP## Solution for injection Ketamine (Ketamine Hydrochloride) 50 mg/mL NRN: A4-100166,A4-100166,Drugs,
Lisin 10 Tablets,Lisin 10 Tablets## Tablet Lisinopril 10 mg NRN: A4-1528,A4-1528,Drugs,
Lofnac 100 Tablets,Lofnac 100 Tablets## Tablet Diclofenac Sodium 100 mg NRN: 04-7290,04-7290,Drugs,
Megalis 10 Tablets,Megalis 10 Tablets## Tablet Tadalafil 10 mg NRN: B4-4340,B4-4340,Drugs,
Megalis 20 Tablets,Megalis 20 Tablets## Tablet Tadalafil 20 mg NRN: B4-4214,B4-4214,Drugs,
Methocarbamol 500 Tablet,Methocarbamol 500 Tablet** Tablet Methocarbamol 500 mg NRN: A4-100146,A4-100146,Drugs,
Norprazole Capsules,Norprazole Capsules## Capsule Omeprazole 20 mg NRN: B4-5721,B4-5721,Drugs,
Omelife,Omelife## Capsule Omeprazole 20 mg NRN: B4-3353,B4-3353,Drugs,
Prazivin Tablets,Prazivin Tablets## Tablet Praziquantel 600 mg NRN: A4-7769,A4-7769,Drugs,
Ramicard 5.0,Ramicard 5.0## Tablet Ramipril 5 mg NRN: B4-2128,B4-2128,Drugs,
Rosuvastatin Tablets,Rosuvastatin Tablets## Tablet Rosuvastatin (Rosuvastatin Calcium) 10 mg NRN: B4-4591,B4-4591,Drugs,
Sealmet 1000 Tablet,Sealmet 1000 Tablet## Tablet Metformin Hydrochloride 1000 mg NRN: A4-100155,A4-100155,Drugs,
Silamac 100 Tablet,Silamac 100 Tablet## Tablet Sildenafil (Sildenafil Citrate) 100 mg NRN: B4-4546,B4-4546,Drugs,
Spinotone-25 Tablets,Spinotone-25 Tablets## Tablet Spironolactone 25 mg NRN: A4-7782,A4-7782,Drugs,
Spinotone-50 Tablets,Spinotone-50 Tablets## Tablet Spironolactone 50 mg NRN: B4-5201,B4-5201,Drugs,
Stalong 10 mg Tablet,Stalong 10 mg Tablet## Tablet Tadalafil 10 mg NRN: B4-1155,B4-1155,Drugs,
Stalong 20 mg Tablets,Stalong 20 mg Tablets## Tablet Tadalafil 20 mg NRN: B4-1154,B4-1154,Drugs,
Tadalafil 20 mg,Tadalafil 20 mg## Tablet Tadalafil 20 mg NRN: A4-100141,A4-100141,Drugs,
Talibex Ciprofloxacin Tablets,Talibex Ciprofloxacin Tablets## Tablet Ciprofloxacin (Ciprofloxacin Hydrochloride) 500 mg NRN: B4-6686,B4-6686,Drugs,
Telmisartan 40 Tablet,Telmisartan 40 Tablet## Tablet Telmisartan 40 mg NRN: A4-100144,A4-100144,Drugs,
Telmisartan 80 Tablet,Telmisartan 80 Tablet## Tablet Telmisartan 80 mg NRN: A4-100145,A4-100145,Drugs,
Torplatt-75,Torplatt-75## Tablet Clopidogrel (Clopidogrel Bisulfate) 75 mg NRN: B4-5041,B4-5041,Drugs,
Unigyl 200 Tablet,Unigyl 200 Tablet## Tablet Metronidazole 200 mg NRN: 04-8426,04-8426,Drugs,
Unigyl 400 Tablet,Unigyl 400 Tablet## Tablet Metronidazole 400 mg NRN: A11-0330,A11-0330,Drugs,
Valsartil 80 mg Tablets,Valsartil 80 mg Tablets## Tablet Valsartan 80 mg NRN: B4-4097,B4-4097,Drugs,
Zoleric Capsules,Zoleric Capsules# Capsule Esomeprazole (Esomeprazole Magnesium) 20 mg NRN: A4-2862,A4-2862,Drugs,
Zopent Injection,Zopent Injection** Solution for injection Pentazocine (Pentazocine Lactate) 30 mg/mL NRN: A4-5639,A4-5639,Drugs,
