product_name,name_similarity,nrn_exact_match,nrn_format_valid,nrn_similarity,name_nrn_mismatch,label
GONAL-f Injection Pre-Filled Pen 450 IU,1.0,1,1,1.0,0,1
Amlodipine Tablets,1.0,0,1,0.875,1,0
Chorionic Gonadotropin for Injection USP 5000 IU,1.0,1,1,1.0,0,1
"Veroraab Rabies Vaccine, Inactivated",0.9859,1,1,1.0,0,0
Alpent Injection,1.0,1,1,1.0,0,1
NovoMix 30 FlexPen 100 U/mL Suspension for Injection in Pre-Fille Pen,0.9928,1,1,1.0,0,0
Priiorix Tetra,0.963,1,1,1.0,0,0
"Verorab Rabies Vaccine, Inactivated",1.0,0,1,0.8571,1,0
Levemir FlexxPen,0.9677,1,1,1.0,0,0
Ovitrelle 250 micrograms Solution for Injection in Prefilled Syringe,1.0,1,1,1.0,0,1
Hexaxim Vaccine,1.0,1,1,1.0,0,1
Ceftran For Injection,1.0,0,1,0.8571,1,0
ForteMed Tablet,0.6061,0,1,0.5,0,0
PowerHeal Capsule,0.6667,0,1,0.75,0,0
Candesartan 16 mg Tablets,1.0,1,1,1.0,0,1
Ryzodeg FlexTouch 100 U/mL,1.0,0,1,0.8571,1,0
Avaxim 80 U Pediatric Suspension for Injection in a Prefilled Syringe,1.0,0,1,0.8571,1,0
Mitxard 30 FlexPen 100IU,0.9583,1,1,1.0,0,0
SII Td-Va Vaccine,0.9714,1,1,1.0,0,0
Wosulin 30/70 Biphasic Isophane Human Insulin,1.0,1,1,1.0,0,1
Megalis 20 Tablets,1.0,1,1,1.0,0,1
Revac-B 1 mL Single Dose,1.0,1,1,1.0,0,0
Acizip-100 Tablets Tablet Aceclofenac 100 mg,1.0,1,1,1.0,0,1
Pneumosil Vaccine  2.5 mL,0.9796,1,1,1.0,0,0
Vintor 4000 Injections,1.0,1,1,1.0,0,1
Rotavac 2.5 mL Multi-dose,1.0,1,1,1.0,0,1
Lantus Solution for Injection in a Cartridge,1.0,0,1,0.8571,1,0
Cafekris,1.0,1,1,1.0,0,1
Typbar TCV (Typhoid Vi conjugate vaccine),1.0,0,1,0.8889,1,0
Simponi 100 mg solution for injection PFP,1.0,1,1,1.0,0,1
Tadalafil 20 mg,1.0,1,1,1.0,0,1
Hexaxim Vacccine,0.9677,1,1,1.0,0,0
Avelox Intravenous Infsuion,0.963,1,1,1.0,0,0
Ryzodeg FlexTouch 100 U/mL,1.0,1,1,1.0,0,1
PureLife Injection,0.7059,0,1,0.625,0,0
Avxim 160 U Vaccine,0.9744,1,1,1.0,0,0
Humulin R Solution for Injection in Cartridge,1.0,1,1,1.0,0,1
Insulatard lexPen 100 IU,0.9796,1,1,1.0,0,0
Crushmal,1.0,0,1,0.8889,1,0
Silmen--5,0.9412,1,1,1.0,0,0
Candesartan 16 mg Tablets,1.0,0,1,0.8571,1,0
Alpent Injection,1.0,0,1,0.8571,1,0
G-Clav Ijnection,0.9375,1,1,1.0,0,0
Rotvac 2.5 mL Multi-dose,0.9796,1,1,1.0,0,0
Betaglip Tbalets,0.9375,1,1,1.0,0,0
Hemmlibra 60 mg,0.9655,1,1,1.0,0,0
Telmisartan 4 Tablet,0.9756,1,1,1.0,0,0
Hemlbira 150 mg,0.9333,1,1,1.0,0,0
Silmen-5,1.0,1,1,1.0,0,1
Amikacin Injecton,0.9714,1,1,1.0,0,0
Menotas HP 150,1.0,1,1,1.0,0,1
Avelox Intravenous Infusion,1.0,1,1,1.0,0,1
Silamac 100 Tablet,1.0,0,1,0.8571,1,0
Norparzole Capsules,0.9474,1,1,1.0,0,0
Insuget-R Regular (Human Insulin - rDNA Origin) Injection 100 IU/mL,1.0,1,1,1.0,0,1
Elaxim 52.5 Injeection,0.9767,1,1,1.0,0,0
"Binocrit 4,000 IU/0.4 mL Solution for Injection in aP re-Filled Syringe",0.9859,1,1,1.0,0,0
RotasiilLiquid,0.9655,1,1,1.0,0,0
Insuget-R Regular (Human nsulin - rDNA Origin) Injection 100 IU/mL,0.9925,1,1,1.0,0,0
Menotas HP 75,1.0,1,1,1.0,1,0
HibPro Haemophilus Influenzae Type B Conjugate Vaccine,1.0,0,1,0.8571,1,0
Havrix 1440 Vaccine,1.0,1,1,1.0,0,0
Meningococcal A Conjugate Vaccine 10 mcg,1.0,0,1,0.8889,1,0
GONAL-f Injection Pre-Filled Pen 300 IU,1.0,0,1,0.8571,1,0
Apitol Tablets,1.0,0,1,0.8571,1,0
MabThera 1400 mg Solution for Subcutaneous Injection,1.0,1,1,1.0,0,1
Revac-B 1 L Single Dose,0.9787,1,1,1.0,0,0
"Binocrit 4,000 IU/0.4 mL Solution for Injection in a Pre-Filled Syringe",1.0,0,1,0.8889,1,0
Chorionic  Gonadotropin for Injection USP 5000 IU,0.9897,1,1,1.0,0,0
RapidCure Solution,0.5143,0,1,0.625,0,0
Betavate C Cream,1.0,0,1,0.8571,1,0
Polio Sabin Bivalent Oral Poliomyelitis Vaccine Types 1 and 3 (BOPV),1.0,1,1,1.0,0,1
Meningococcal A Conjugate Vaccine 10 mcg,1.0,1,1,1.0,0,1
Czartan 50 Tablets,1.0,1,1,1.0,0,1
Spinotone-50 Tablets,1.0,0,1,0.8571,1,0
Candesartan 8 mg Talbets,0.9583,1,1,1.0,0,0
Rotarix Oral Suspension Applicator,1.0,1,1,1.0,0,1
Pneumosil Vacine 0.5 mL,0.9787,1,1,1.0,0,0
Erbitux Solution for Infusion,1.0,1,1,1.0,1,0
Avastin 400 mg/16 mL,1.0,1,1,1.0,0,1
MeningococcalA  Conjugate Vaccine 10 mcg,0.975,1,1,1.0,0,0
Axcel Cephalexin-500 Capsule,1.0,1,1,1.0,0,1
Vabysmo,1.0,0,1,0.8889,1,0
Chovastn 20 mg,0.9655,1,1,1.0,0,0
Tecentriq 1200 mg/20 mL,1.0,1,1,1.0,0,1
Rebif 44 Micrograms Solution for Injection,1.0,1,1,1.0,0,1
PriorixV accine,0.9333,1,1,1.0,0,0
Mixtard 30 FlexPen 100IU,1.0,0,1,0.8571,1,0
Coxiget 400 mg,1.0,1,1,1.0,0,1
Mvabea suspension for injection,1.0,1,1,1.0,0,1
"Pneubevax 14, 2.5 mL Suspension for injection Pneumococcal",1.0,1,1,1.0,0,1
NovoMix 30 FlexPen 100 U/mL Suspension for Injection in Pre-Filled Pen,1.0,0,1,0.875,1,0
Zoleric Capsules,1.0,1,1,1.0,0,1
Perjeta 420 mg Concentrate for Solution for Infusion,1.0,1,1,1.0,0,1
NovoSeven 1 mg (50 KIU) powder and sollvent for solution for injection,0.9928,1,1,1.0,0,0
Ramicard 5.0,1.0,1,1,1.0,0,1
Perjeta 420 mg Concentrate for Solution for Infusion,1.0,0,1,0.8571,1,0
Vintor 4000 Injetcions,0.9545,1,1,1.0,0,0
Simponi Solution for Injection in Prefilled Pen,1.0,1,1,1.0,0,1
Avastin 400 mg/16mL,0.9744,1,1,1.0,0,0
MedPlus Extra Tablet,0.6316,0,1,0.5,0,0
Avromal DS Tableets,0.973,1,1,1.0,0,0
Lisin 10 Tablets,1.0,0,1,0.8571,1,0
Adacel Polio Vaccine,1.0,1,1,1.0,0,1
Torvedol 12.5,1.0,1,1,1.0,0,1
Artheget EZ,1.0,0,1,0.8571,1,0
Twinrix Junior Vaccine,1.0,0,1,0.8571,1,0
Havrix 1440 Vaccine,1.0,1,1,1.0,0,1
Menacttra Vaccine,0.9697,1,1,1.0,0,0
Insuget-R Regular (Human Insulin - rDNA Origin) Injection 100 IU/mL,1.0,0,1,0.8889,1,0
Engerix B 20 (Adult) Vaccine,1.0,0,1,0.8571,1,0
Crestor 40 mg Tablets,1.0,0,1,0.8571,1,0
Acterma 200 mg,0.9286,1,1,1.0,0,0
MenQuadfi Vaccine,1.0,1,1,1.0,0,1
Vaxxitek HVT + IB Vaccine,0.9804,1,1,1.0,0,0
Synflorix 4-Dose Vial,1.0,0,1,0.8571,1,0
Folisurge 75 IU Ijnection,0.96,1,1,1.0,0,0
"Binocrit 2,000 IU/1 mL Solution for Injection in a Pre-Filled Syringe",1.0,1,1,1.0,0,1
Valasrtil 80 mg Tablets,0.9565,1,1,1.0,0,0
Amikacin Injection,1.0,1,1,1.0,0,1
Betaglip Tablets,1.0,1,1,1.0,0,1
Spiotone-50 Tablets,0.9744,1,1,1.0,0,0
Varilrix Vaccine,1.0,0,1,0.8571,1,0
Tetraxim Vaccine Suspension for Injection in Prefilled Syringe,1.0,1,1,1.0,0,1
Atcrapid 100 IU/mL Vial,0.9565,1,1,1.0,0,0
Phesg o1200 mg/600 mg/15 mL,0.963,1,1,1.0,0,0
Rabisi Suspension for Injection,0.9841,1,1,1.0,0,0
Actemra 80 mg,1.0,1,1,1.0,1,0
Wosulin N Suspension for Injection 100 IU/mL Vial,1.0,1,1,1.0,0,1
Humulin N Injection Vial,1.0,1,1,1.0,0,0
Humulin N Cartridges,1.0,1,1,1.0,0,1
Fluconazole Capsules,1.0,1,1,1.0,0,0
Avastin 100 mg,1.0,0,1,0.8571,1,0
Agazit Tablets,1.0,1,1,1.0,0,1
HuCog 5000 HP Injection,1.0,0,1,0.8571,1,0
Acyclovir Oiintment,0.973,1,1,1.0,0,0
Mixtard 30 FlexPen 100IU,1.0,1,1,1.0,0,1
Foliculin 75 HP Injection,1.0,0,1,0.8571,1,0
Wosulin R Insulin Human Injection Cartridge,1.0,1,1,1.0,0,1
Valsartil 80 mg Tablets,1.0,1,1,1.0,0,1
Glucophage 1000 mg Tablet,1.0,0,1,0.8571,1,0
Actemra 400 mg,1.0,0,1,0.8889,1,0
Lantus Solution for Injection in a Vial,1.0,1,1,1.0,0,1
GONAL-f Injection Pre-Filled Pen 900 IU,1.0,1,1,1.0,0,1
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Five Dose Vial - 22.5 mL",0.9947,1,1,1.0,0,0
GlucaGen HypoKit 1 mg,1.0,1,1,1.0,0,0
Follisurge 1200 IU Injection,0.9818,1,1,1.0,0,0
SII Td-Vac Vaccine,1.0,0,1,0.8889,1,0
Regen-D 150,1.0,0,1,0.8571,1,0
GenCure Injection,0.7273,0,1,0.625,0,0
Elaxm-40,0.9412,1,1,1.0,0,0
Phesgo 600 mg/600 mg/10 mL,1.0,0,1,0.8889,1,0
GARDASIL Suspennsion for Intramuscular Injection,0.9895,1,1,1.0,0,0
Tecentriq 840 mg/14 mL,1.0,0,1,0.8889,1,0
Nimenrix Vaccine,1.0,1,1,1.0,0,1
Crushmal,1.0,1,1,1.0,0,1
Wosulin R Insulin Human Injection aCrtridge,0.9767,1,1,1.0,0,0
Marchept (Freeze Dried Live Attenuated),1.0,1,1,1.0,0,1
Zarzio 48 MU/0.5 mL,1.0,1,1,1.0,0,1
Cika Doxycyclien Capsule,0.9583,1,1,1.0,0,0
Avastin 400 mg/16 mL,1.0,0,1,0.8571,1,0
Afrixime CLV 32 5Tablets,0.9583,1,1,1.0,0,0
Adsorbed Tetanus Toxoid Vaccine,1.0,0,1,0.8571,1,0
Zabdeno suspension for injection,1.0,1,1,1.0,0,1
Recombinant Heptaitis B Vaccine 1.0 mL (Adult),0.9783,1,1,1.0,0,0
NovoSeven 2 mg (100 KIU) powder and solvent for solution for injection,1.0,1,1,1.0,1,0
Pasurta 140 mg/mL Solution for Injection in a Prefilled Syringe,1.0,1,1,1.0,0,1
Sealmet 1000 Tablet,1.0,0,1,0.8889,1,0
Spinotone-25 Tablets,1.0,0,1,0.8571,1,0
SII Td-Vac Vaccine,1.0,1,1,1.0,0,1
"Binocrit 22,000 IU/1 mL Solution for Injection in a Pre-Filled Syringe",0.9928,1,1,1.0,0,0
Folisurge 1200 IU Injection,1.0,0,1,0.8571,1,0
Rotarix Oral Suspension Tube,1.0,0,1,0.8571,1,0
Vintor 20000 Injection,0.9767,1,1,1.0,0,0
GlucaGen HypoKit 1 mg,1.0,1,1,1.0,0,1
Wosulin R Insulin Human Injection Cartridge,1.0,1,1,1.0,1,0
Actemra 400  mg,0.9655,1,1,1.0,0,0
BioShield Vaccine,0.6875,0,1,0.625,0,0
Amlodipin Tablets,0.9714,1,1,1.0,0,0
Polio Sabin Bivalent Oral Poliomyelitis Vaccine Types 1 and 3 (BOPV),1.0,0,1,0.875,1,0
Cika Doxycycline Capsule,1.0,1,1,1.0,0,1
Humuliin N Cartridges,0.9756,1,1,1.0,0,0
Insuget 70/30 (Human Insulin - rDNA Origin) Injection 100 IU/mL,1.0,0,1,0.8889,1,0
Adacel Polio Vaccine,1.0,0,1,0.8889,1,0
Hanmal,1.0,0,1,0.8571,1,0
Megallis 10 Tablets,0.973,1,1,1.0,0,0
Recombinant Hepatitis B Vaccine 1.0 mL (Adult),1.0,1,1,1.0,0,0
Varirid avccine,0.9333,1,1,1.0,0,0
Pasurta 70 mg/mL Soluion for Injection in a Prefilled Syringe,0.9919,1,1,1.0,0,0
Crshmal,0.9333,1,1,1.0,0,0
Humoog 75 HP,0.9565,1,1,1.0,0,0
Recormon (Epoetin Beta 4000 IU/03.mL),1.0,1,1,1.0,0,1
"MRBEV - Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried) Fiv Dose Vial - 5 mL",0.9945,1,1,1.0,0,0
Artemteher Injection,0.95,1,1,1.0,0,0
Super Cure Tablet,0.5556,0,1,0.625,0,0
Avastin 100 mg,1.0,1,1,1.0,0,0
Ocevus,0.9231,1,1,1.0,0,0
Actemra 400 mg,1.0,1,1,1.0,0,1
Ketamine HydrochlorideInjection BP,0.9855,1,1,1.0,0,0
Pentabio (DTwP-HB-Hib) Vaccine(5 dose),0.987,1,1,1.0,0,0
Hemlibra 60 mg,1.0,0,1,0.8889,1,0
Humalog 100 U/mL KwikPen Solution for Injection,1.0,0,1,0.8571,1,0
Kadcyla Powder for Concentrate for Solution for Infusion 160 mg,1.0,1,1,1.0,0,0
Revac-B 10 mL Multi-dose,1.0,1,1,1.0,0,1
NovoSeven 2 mg (100 KIU) powder and solvent for solution for injection,1.0,1,1,1.0,0,1
Pentabio (DTwP-HB-Hib) Vaccine (5 dose),1.0,0,1,0.8889,1,0
Ceftran For Injjection,0.9767,1,1,1.0,0,0
Coxiget 200 mg,1.0,1,1,1.0,0,1
Folisurge 75 IU Injection,1.0,0,1,0.8571,1,0
Shan IPV (Inactivated Poliomyelitis Vaccine),1.0,1,1,1.0,0,1
Czartan 550 Tablets,0.973,1,1,1.0,0,0
Insuget-N NPH (Human Insulin - rDNA Origin) Injection1 00 IU/mL,0.9841,1,1,1.0,0,0
Varilirx Vaccine,0.9375,1,1,1.0,0,0
Rotarix Oral SSuspension Tube,0.9825,1,1,1.0,0,0
Pasurta 140 mg/mL Solution for Injection in a Prefilled Syringe,1.0,1,1,1.0,1,0
HibPro Haeophilus Influenzae Type B Conjugate Vaccine,0.9907,1,1,1.0,0,0
Insulinagypt 70/30 (100 IU/mL) Suspension fo Injection in Vial,0.992,1,1,1.0,0,0
Poliomyelitis  vaccine (Inactivated),0.9859,1,1,1.0,0,0
Typbar Vi Capsular Polysaccharide Vaccine 0.5,1.0,0,1,0.8571,1,0
Lofnac 100 Tablets,1.0,0,1,0.8571,1,0
Artheget EZ,1.0,1,1,1.0,0,1
Twinrix Junior Vaccine,1.0,1,1,1.0,0,1
MabThera 100 mg Concentrate for Solution for Infusion,1.0,0,1,0.8571,1,0
Insuget-N NPH (Human Insulin - rDNA Origin) Injection 100 IU/mL,1.0,1,1,1.0,0,1
Unigyl 200 Tablet,1.0,1,1,1.0,0,1
HibPro Haemophilus Influenzae Type B Conjugate Vaccine,1.0,1,1,1.0,0,1
Wosulin N Suspension for Injecction 100 IU/mL Cartridge,0.9908,1,1,1.0,0,0
Accesslife Tramadol Capsuules,0.9825,1,1,1.0,0,0
Zarzio 30 MU/0.5 mL,1.0,1,1,1.0,0,1
S-Flox,1.0,0,1,0.8571,1,0
Hemlibra 150 mg,1.0,0,1,0.8889,1,0
Torvedol 6.25,1.0,1,1,1.0,0,1
Syynflorix 4-Dose Vial,0.9767,1,1,1.0,0,0
Cikagyl 400 Tablt,0.9714,1,1,1.0,0,0
Typbar Vi Capsular Polysaccharide Typhoid Vaccine,1.0,1,1,1.0,0,1
Rotarix Oral Suspension Tube,1.0,1,1,1.0,0,1
Pasurta 70 mg/mL Solution for Injection in a Prefilled Syringe,1.0,0,1,0.8889,1,0
HealFast Syrup,0.3704,0,1,0.625,0,0
Typbar Vi Capsular Polysaccharide Typhoid Vaccine,1.0,1,1,1.0,1,0
Levemir FlexPen 100 Units/mL Solution for Injection in Pre-filled Pen,1.0,1,1,1.0,0,1
Telmisartan & Hydrochlorothiazide Tablets USP,1.0,0,1,0.8889,1,0
Poliomyelitis Vaccine (Oral) Bivalent Tyype 1 and 3,0.9901,1,1,1.0,0,0
Ketamine Hydrochloride Injection BP,1.0,1,1,1.0,0,1
Recombinant Hepatitis B Vaccine 1.0 mL (Adult),1.0,1,1,1.0,0,1
Unigyl 200 aTblet,0.9412,1,1,1.0,0,0
Czartan 50 Tablets,1.0,1,1,1.0,0,0
Vaxxitek HVT + IBD Vaccine,1.0,0,1,0.8571,1,0
Czzartan 25 Tablets,0.973,1,1,1.0,0,0
Rotavac 2.5 mL Multi-dose,1.0,0,1,0.8889,1,0
Marchept (Freeze Dried Live Attenuated),1.0,0,1,0.8889,1,0
Cika Dexamethasone Tablets,1.0,1,1,1.0,0,1
Phesgo 600 mg/600 mg/10 mL,1.0,1,1,1.0,0,1
Humalog 100 U/mL wKikPen Solution for Injection,0.9787,1,1,1.0,0,0
Mabthera 500 mg Concentratee for Solution for Infusion,0.9907,1,1,1.0,0,0
Hanmmal,0.9231,1,1,1.0,0,0
Actemra 200 mg,1.0,1,1,1.0,0,1
Levemir FlexPen,1.0,0,1,0.8571,1,0
Wosulin 30/70 Bipahsic Isophane Human Insulin,0.9778,1,1,1.0,0,0
MabThera 100 mg Concentrate for Solution for Infusion,1.0,1,1,1.0,0,1
Humuli N Injection Vial,0.9787,1,1,1.0,0,0
Rotarix Oral Suspension Applicator,1.0,0,1,0.875,1,0
Insulatard FlexPen 100 IU,1.0,0,1,0.8571,1,0
Wosulin 30/70 Biphasic Isophane Insulin Human Injection,1.0,1,1,1.0,0,1
Insuget 70/30(Human Insulin - rDNA Origin) Injection 100 IU/mL,0.992,1,1,1.0,0,0
GONAL-f Injection Pre-Filled Pen 300 IU,1.0,1,1,1.0,0,1
S-Fox,0.9091,1,1,1.0,0,0
Elaxim 52.5 Injection,1.0,0,1,0.8571,1,0
Typbar TCV (Typohid Vi conjugate vaccine),0.9756,1,1,1.0,0,0
Simuect,0.9333,1,1,1.0,0,0
Wosulin R Insulin Human Injectiion,0.9851,1,1,1.0,0,0
Recombinant Hepatitis B Vaccine 0. mL (Pediatric),0.9899,1,1,1.0,0,0
S-Flox,1.0,1,1,1.0,0,1
Adsorbed Tetanus Toxoid Vaccine,1.0,1,1,1.0,0,1
Vintor 4000 Injections,1.0,0,1,0.8571,1,0
Regenn-D 60,0.9524,1,1,1.0,0,0
Wosulin N Suspension for Injection 100 IU/mL Cartridge,1.0,0,1,0.8571,1,0
Enspryng Solution for Injection,1.0,1,1,1.0,0,0
Unigyl 400 Tablet,1.0,0,1,0.875,1,0
MaxStrength Syrup,0.4,0,1,0.6667,0,0
Lvemir FlexPen 100 Units/mL Solution for Injection in Pre-filled Pen,0.9927,1,1,1.0,0,0
Ibulife,1.0,0,1,0.8571,1,0
Foliculin 150 HP Injection,1.0,0,1,0.8571,1,0
Axcel CCefuroxime-250 Capsule,0.9825,1,1,1.0,0,0
Betavate C Cream,1.0,1,1,1.0,0,1
Kadcyla Powder for Concentrate for Solution for Infusion 100 mg,1.0,0,1,0.8571,1,0
Eylea 40 mg/mL Solution for Injection,1.0,0,1,0.8571,1,0
Prazivin Tabllets,0.9697,1,1,1.0,0,0
Shan IPV (Inactiavted Poliomyelitis Vaccine),0.9773,1,1,1.0,0,0
Saxenda 6 mg/mL Solution for  Injection in Pre-filled Pen,0.9912,1,1,1.0,0,0
Artemether Injection,1.0,1,1,1.0,0,1
Hemlibra 150 mg,1.0,1,1,1.0,0,1
Apitol Caplets Caplet Cyproheptadine Hydrochloride 4,1.0,0,1,0.9,1,0
Ryzodeg FlexTouch 100 U/Lm,0.9615,1,1,1.0,0,0
Talibex Ciprofloxacin Tablets,1.0,0,1,0.8571,1,0
Remicade,1.0,1,1,1.0,0,1
Axcel Cephalexin-500 Capslue,0.9643,1,1,1.0,0,0
Apitol Caplets Caplet Cpyroheptadine Hydrochloride 4,0.9808,1,1,1.0,0,0
Telmisartan 40 Tablet,1.0,0,1,0.8889,1,0
Zopent Injection,1.0,1,1,1.0,0,1
Wosulin R Insulin Human Injection,1.0,1,1,1.0,0,1
Pagenax 120 mg/mL Solution for Injection,1.0,1,1,1.0,0,1
Mendoz Meningitis Vaccine,1.0,1,1,1.0,1,0
Chovastin 20 mg,1.0,0,1,0.8571,1,0
Humulin N Cartridges,1.0,0,1,0.8571,1,0
Actrapid 100 IU/mL Vial,1.0,0,1,0.8571,1,0
Stamaril Vaccine,1.0,1,1,1.0,0,1
Candesartan 8 mg Tablets,1.0,0,1,0.8571,1,0
"Binocrit 8,000 IU/0.8 mL Solution for Injection in a Pre-Filled Syringe",1.0,1,1,1.0,0,1
Avaxim 160 U Vaccine,1.0,1,1,1.0,0,0
Basagine Injecttion 100 units/mL,0.9841,1,1,1.0,0,0
